t dd no-dd
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
1.000000000000000000e+00 1.453597068786621094e+01 1.497592544555664062e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
2.000000000000000000e+00 1.159823703765869141e+01 1.401949596405029297e+01
